case_id,activity,event_order,exchange_rate
15,Check exchange rate,7,1.07
15,Check exchange rate,8,1.03
15,Check exchange rate,9,1.13
15,Check exchange rate,10,1.16
15,Check exchange rate,11,1.0
15,Check exchange rate,12,0.92
15,Pays by card,13,
16,Check-in,1,
16,Check exchange rate,2,1.01
16,Check exchange rate,3,1.17
16,Check exchange rate,4,0.98
16,Check exchange rate,5,1.01
16,Check exchange rate,6,1.02
16,Check exchange rate,7,0.95
16,Check exchange rate,8,0.92
16,Check exchange rate,9,1.13
16,Check exchange rate,10,0.9
16,Check exchange rate,11,0.87
16,Check exchange rate,12,1.07
16,Pays cash,13,
17,Check-in,1,
17,Check exchange rate,2,1.12
17,Check exchange rate,3,1.12
17,Check exchange rate,4,1.07
17,Check exchange rate,5,1.1
17,Check exchange rate,6,0.92
17,Check exchange rate,7,0.86
17,Check exchange rate,8,1.15
17,Check exchange rate,9,0.97
17,Check exchange rate,10,0.97
17,Check exchange rate,11,1.13
17,Check exchange rate,12,1.06
17,Pays by card,13,
18,Check-in,1,
18,Check exchange rate,2,0.94
18,Check exchange rate,3,1.0
18,Check exchange rate,4,1.15
18,Check exchange rate,5,1.18
18,Check exchange rate,6,1.07
18,Check exchange rate,7,1.06
18,Check exchange rate,8,0.91
18,Check exchange rate,9,1.04
18,Check exchange rate,10,1.06
18,Check exchange rate,11,0.98
18,Check exchange rate,12,0.94
18,Pays by card,13,
19,Check-in,1,
19,Check exchange rate,2,0.87
19,Check exchange rate,3,1.21
19,Check exchange rate,4,0.89
19,Check exchange rate,5,0.98
19,Check exchange rate,6,0.97
19,Check exchange rate,7,1.03
19,Check exchange rate,8,1.08
19,Check exchange rate,9,1.09
19,Check exchange rate,10,0.94
19,Check exchange rate,11,0.98
19,Check exchange rate,12,1.03
19,Pays by card,13,
20,Check-in,1,
20,Check exchange rate,2,1.12
20,Check exchange rate,3,0.99
20,Check exchange rate,4,1.09
20,Check exchange rate,5,1.07
20,Check exchange rate,6,0.9
20,Check exchange rate,7,1.05
20,Check exchange rate,8,1.03
20,Check exchange rate,9,1.0
20,Check exchange rate,10,0.99
20,Check exchange rate,11,0.99
20,Check exchange rate,12,1.08
20,Pays cash,13,
21,Check-in,1,
21,Check exchange rate,2,1.06
21,Check exchange rate,3,1.12
21,Check exchange rate,4,1.0
21,Check exchange rate,5,1.03
21,Check exchange rate,6,1.17
21,Check exchange rate,7,1.02
21,Check exchange rate,8,1.26
21,Check exchange rate,9,1.06
21,Check exchange rate,10,0.82
21,Check exchange rate,11,1.08
21,Check exchange rate,12,1.04
21,Pays by card,13,
22,Check-in,1,
22,Check exchange rate,2,0.94
22,Check exchange rate,3,1.05
22,Check exchange rate,4,0.97
22,Check exchange rate,5,1.0
22,Check exchange rate,6,1.08
22,Check exchange rate,7,0.91
22,Check exchange rate,8,1.13
22,Check exchange rate,9,0.96
22,Check exchange rate,10,1.03
22,Check exchange rate,11,0.86
22,Check exchange rate,12,1.07
22,Pays cash,13,
23,Check-in,1,
23,Check exchange rate,2,1.14
23,Check exchange rate,3,1.12
23,Check exchange rate,4,0.94
23,Check exchange rate,5,0.99
23,Check exchange rate,6,1.0
23,Check exchange rate,7,0.92
23,Check exchange rate,8,1.06
23,Check exchange rate,9,0.99
23,Check exchange rate,10,1.04
23,Check exchange rate,11,0.91
23,Check exchange rate,12,0.96
23,Pays by card,13,
24,Check-in,1,
24,Check exchange rate,2,0.92
24,Check exchange rate,3,0.79
24,Check exchange rate,4,1.06
24,Check exchange rate,5,1.03
24,Check exchange rate,6,0.83
24,Check exchange rate,7,1.15
24,Check exchange rate,8,1.17
24,Check exchange rate,9,0.92
24,Check exchange rate,10,1.12
24,Check exchange rate,11,0.94
24,Check exchange rate,12,1.02
24,Pays cash,13,
25,Check-in,1,
25,Check exchange rate,2,0.92
25,Check exchange rate,3,0.94
25,Check exchange rate,4,1.02
25,Check exchange rate,5,1.15
25,Check exchange rate,6,1.2
25,Check exchange rate,7,1.21
25,Check exchange rate,8,1.12
25,Check exchange rate,9,1.1
25,Check exchange rate,10,1.06
25,Check exchange rate,11,1.08
25,Check exchange rate,12,0.94
25,Pays by card,13,
26,Check-in,1,
26,Check exchange rate,2,1.11
26,Check exchange rate,3,0.94
26,Check exchange rate,4,1.09
26,Check exchange rate,5,1.07
26,Check exchange rate,6,0.72
26,Check exchange rate,7,1.08
26,Check exchange rate,8,0.96
26,Check exchange rate,9,0.91
26,Check exchange rate,10,0.92
26,Check exchange rate,11,0.99
26,Check exchange rate,12,1.05
26,Pays by card,13,
27,Check-in,1,
27,Check exchange rate,2,0.86
27,Check exchange rate,3,0.9
27,Check exchange rate,4,1.19
27,Check exchange rate,5,1.12
27,Check exchange rate,6,1.06
27,Check exchange rate,7,0.98
27,Check exchange rate,8,0.9
27,Check exchange rate,9,0.96
27,Check exchange rate,10,1.11
27,Check exchange rate,11,1.19
27,Check exchange rate,12,1.15
27,Pays cash,13,
28,Check-in,1,
28,Check exchange rate,2,0.86
28,Check exchange rate,3,0.88
28,Check exchange rate,4,0.95
28,Check exchange rate,5,1.08
28,Check exchange rate,6,0.81
28,Check exchange rate,7,1.02
28,Check exchange rate,8,1.1
28,Check exchange rate,9,0.98
28,Check exchange rate,10,0.96
28,Check exchange rate,11,1.04
28,Check exchange rate,12,0.98
28,Pays by card,13,
29,Check-in,1,
29,Check exchange rate,2,1.14
29,Check exchange rate,3,1.0
29,Check exchange rate,4,1.18
29,Check exchange rate,5,1.17
29,Check exchange rate,6,0.95
29,Check exchange rate,7,0.94
29,Check exchange rate,8,1.05
29,Check exchange rate,9,0.9
29,Check exchange rate,10,1.03
29,Check exchange rate,11,1.08
29,Check exchange rate,12,1.12
29,Pays by card,13,
30,Check-in,1,
30,Check exchange rate,2,0.9
30,Check exchange rate,3,0.91
30,Check exchange rate,4,1.04
30,Check exchange rate,5,0.98
30,Check exchange rate,6,0.92
30,Check exchange rate,7,0.91
30,Check exchange rate,8,0.97
30,Check exchange rate,9,1.16
30,Check exchange rate,10,0.95
30,Check exchange rate,11,1.0
30,Check exchange rate,12,1.01
30,Pays cash,13,
31,Check-in,1,
31,Check exchange rate,2,0.89
31,Check exchange rate,3,1.07
31,Check exchange rate,4,0.97
31,Check exchange rate,5,1.01
31,Check exchange rate,6,1.05
31,Check exchange rate,7,0.84
31,Check exchange rate,8,0.95
31,Check exchange rate,9,1.08
31,Check exchange rate,10,0.87
31,Check exchange rate,11,1.03
31,Check exchange rate,12,0.86
31,Pays by card,13,
32,Check-in,1,
32,Check exchange rate,2,1.01
32,Check exchange rate,3,1.03
32,Check exchange rate,4,0.92
32,Check exchange rate,5,0.97
32,Check exchange rate,6,0.96
32,Check exchange rate,7,0.95
32,Check exchange rate,8,1.06
32,Check exchange rate,9,0.96
32,Check exchange rate,10,1.1
32,Check exchange rate,11,1.27
32,Check exchange rate,12,0.97
32,Pays cash,13,
33,Check-in,1,
33,Check exchange rate,2,1.02
33,Check exchange rate,3,0.92
33,Check exchange rate,4,1.01
33,Check exchange rate,5,0.89
33,Check exchange rate,6,0.71
33,Check exchange rate,7,1.04
33,Check exchange rate,8,1.09
33,Check exchange rate,9,0.76
33,Check exchange rate,10,0.9
33,Check exchange rate,11,1.06
33,Check exchange rate,12,1.21
33,Pays cash,13,
34,Check-in,1,
34,Check exchange rate,2,1.14
34,Check exchange rate,3,1.01
34,Check exchange rate,4,0.94
34,Check exchange rate,5,0.99
34,Check exchange rate,6,0.94
34,Check exchange rate,7,1.06
34,Check exchange rate,8,0.93
34,Check exchange rate,9,0.95
34,Check exchange rate,10,1.12
34,Check exchange rate,11,0.92
34,Check exchange rate,12,0.86
34,Pays cash,13,
35,Check-in,1,
35,Check exchange rate,2,1.01
35,Check exchange rate,3,0.97
35,Check exchange rate,4,0.84
35,Check exchange rate,5,1.09
35,Check exchange rate,6,0.99
35,Check exchange rate,7,0.98
35,Check exchange rate,8,1.32
35,Check exchange rate,9,1.03
35,Check exchange rate,10,0.92
35,Check exchange rate,11,0.96
35,Check exchange rate,12,1.11
35,Pays by card,13,
36,Check-in,1,
36,Check exchange rate,2,0.82
36,Check exchange rate,3,1.02
36,Check exchange rate,4,1.04
36,Check exchange rate,5,1.14
36,Check exchange rate,6,1.12
36,Check exchange rate,7,1.05
36,Check exchange rate,8,1.08
36,Check exchange rate,9,0.98
36,Check exchange rate,10,0.88
36,Check exchange rate,11,1.01
36,Check exchange rate,12,1.1
36,Pays cash,13,
37,Check-in,1,
37,Check exchange rate,2,1.07
37,Check exchange rate,3,0.97
37,Check exchange rate,4,0.96
37,Check exchange rate,5,0.9
37,Check exchange rate,6,1.04
37,Check exchange rate,7,1.21
37,Check exchange rate,8,0.89
37,Check exchange rate,9,1.0
37,Check exchange rate,10,1.14
37,Check exchange rate,11,0.99
37,Check exchange rate,12,1.05
37,Pays by card,13,
38,Check-in,1,
38,Check exchange rate,2,1.11
38,Check exchange rate,3,1.14
38,Check exchange rate,4,0.88
38,Check exchange rate,5,0.97
38,Check exchange rate,6,1.0
38,Check exchange rate,7,0.97
38,Check exchange rate,8,1.18
38,Check exchange rate,9,1.02
38,Check exchange rate,10,0.92
38,Check exchange rate,11,1.06
38,Check exchange rate,12,1.03
38,Pays by card,13,
39,Check-in,1,
39,Check exchange rate,2,1.03
39,Check exchange rate,3,0.9
39,Check exchange rate,4,1.11
39,Check exchange rate,5,1.13
39,Check exchange rate,6,0.99
39,Check exchange rate,7,0.79
39,Check exchange rate,8,0.94
39,Check exchange rate,9,1.13
39,Check exchange rate,10,1.0
39,Check exchange rate,11,0.9
39,Check exchange rate,12,0.95
39,Pays cash,13,
40,Check-in,1,
40,Check exchange rate,2,0.94
40,Check exchange rate,3,0.96
40,Check exchange rate,4,0.93
40,Check exchange rate,5,0.8
40,Check exchange rate,6,1.08
40,Check exchange rate,7,1.13
40,Check exchange rate,8,0.85
40,Check exchange rate,9,1.12
40,Check exchange rate,10,0.99
40,Check exchange rate,11,1.12
40,Check exchange rate,12,1.0
40,Pays by card,13,
41,Check-in,1,
41,Check exchange rate,2,1.01
41,Check exchange rate,3,0.88
41,Check exchange rate,4,1.12
41,Check exchange rate,5,0.95
41,Check exchange rate,6,1.02
41,Check exchange rate,7,1.03
41,Check exchange rate,8,0.97
41,Check exchange rate,9,1.06
41,Check exchange rate,10,0.95
41,Check exchange rate,11,1.09
41,Check exchange rate,12,0.87
41,Pays cash,13,
42,Check-in,1,
42,Check exchange rate,2,0.81
42,Check exchange rate,3,1.01
42,Check exchange rate,4,1.1
42,Check exchange rate,5,0.87
42,Check exchange rate,6,1.07
42,Check exchange rate,7,1.07
42,Check exchange rate,8,0.88
42,Check exchange rate,9,1.08
42,Check exchange rate,10,1.03
42,Check exchange rate,11,1.07
42,Check exchange rate,12,0.9
42,Pays by card,13,
43,Check-in,1,
43,Check exchange rate,2,1.02
43,Check exchange rate,3,1.11
43,Check exchange rate,4,0.99
43,Check exchange rate,5,0.78
43,Check exchange rate,6,1.08
43,Check exchange rate,7,0.95
43,Check exchange rate,8,0.99
43,Check exchange rate,9,1.03
43,Check exchange rate,10,1.02
43,Check exchange rate,11,1.07
43,Check exchange rate,12,0.96
43,Pays by card,13,
44,Check-in,1,
44,Check exchange rate,2,1.02
44,Check exchange rate,3,1.03
44,Check exchange rate,4,1.09
44,Check exchange rate,5,0.95
44,Check exchange rate,6,1.07
44,Check exchange rate,7,0.96
44,Check exchange rate,8,1.03
44,Check exchange rate,9,0.94
44,Check exchange rate,10,0.91
44,Check exchange rate,11,1.01
44,Check exchange rate,12,0.81
44,Pays by card,13,
45,Check-in,1,
45,Check exchange rate,2,0.97
45,Check exchange rate,3,0.89
45,Check exchange rate,4,0.89
45,Check exchange rate,5,1.1
45,Check exchange rate,6,1.17
45,Check exchange rate,7,0.99
45,Check exchange rate,8,0.98
45,Check exchange rate,9,1.01
45,Check exchange rate,10,1.12
45,Check exchange rate,11,0.91
45,Check exchange rate,12,1.02
45,Pays cash,13,
46,Check-in,1,
46,Check exchange rate,2,1.03
46,Check exchange rate,3,1.06
46,Check exchange rate,4,1.07
46,Check exchange rate,5,1.27
46,Check exchange rate,6,0.82
46,Check exchange rate,7,0.93
46,Check exchange rate,8,1.15
46,Check exchange rate,9,0.96
46,Check exchange rate,10,1.09
46,Check exchange rate,11,1.02
46,Check exchange rate,12,1.21
46,Pays cash,13,
47,Check-in,1,
47,Check exchange rate,2,0.89
47,Check exchange rate,3,1.16
47,Check exchange rate,4,1.07
47,Check exchange rate,5,1.01
47,Check exchange rate,6,0.84
47,Check exchange rate,7,0.98
47,Check exchange rate,8,0.92
47,Check exchange rate,9,1.22
47,Check exchange rate,10,0.98
47,Check exchange rate,11,1.01
47,Check exchange rate,12,1.06
47,Pays by card,13,
48,Check-in,1,
48,Check exchange rate,2,1.23
48,Check exchange rate,3,1.01
48,Check exchange rate,4,0.99
48,Check exchange rate,5,0.98
48,Check exchange rate,6,0.96
48,Check exchange rate,7,0.78
48,Check exchange rate,8,0.98
48,Check exchange rate,9,0.79
48,Check exchange rate,10,1.05
48,Check exchange rate,11,0.88
48,Check exchange rate,12,0.91
48,Pays by card,13,
49,Check-in,1,
49,Check exchange rate,2,0.93
49,Check exchange rate,3,0.97
49,Check exchange rate,4,0.92
49,Check exchange rate,5,1.03
49,Check exchange rate,6,1.13
49,Check exchange rate,7,0.81
49,Check exchange rate,8,1.01
49,Check exchange rate,9,0.98
49,Check exchange rate,10,1.07
49,Check exchange rate,11,1.02
49,Check exchange rate,12,0.92
49,Pays by card,13,
50,Check-in,1,
50,Check exchange rate,2,1.01
50,Check exchange rate,3,0.78
50,Check exchange rate,4,1.0
50,Check exchange rate,5,1.11
50,Check exchange rate,6,0.96
50,Check exchange rate,7,0.93
50,Check exchange rate,8,0.86
50,Check exchange rate,9,0.81
50,Check exchange rate,10,1.08
50,Check exchange rate,11,0.98
50,Check exchange rate,12,1.08
50,Pays cash,13,
51,Check-in,1,
51,Check exchange rate,2,1.15
51,Check exchange rate,3,0.95
51,Check exchange rate,4,1.01
51,Check exchange rate,5,1.16
51,Check exchange rate,6,1.09
51,Check exchange rate,7,0.97
51,Check exchange rate,8,0.91
51,Check exchange rate,9,0.78
51,Check exchange rate,10,0.93
51,Check exchange rate,11,0.98
51,Check exchange rate,12,0.9
51,Pays cash,13,
52,Check-in,1,
52,Check exchange rate,2,1.05
52,Check exchange rate,3,0.98
52,Check exchange rate,4,1.12
52,Check exchange rate,5,1.12
52,Check exchange rate,6,1.12
52,Check exchange rate,7,0.83
52,Check exchange rate,8,1.02
52,Check exchange rate,9,1.08
52,Check exchange rate,10,1.04
52,Check exchange rate,11,1.06
52,Check exchange rate,12,1.01
52,Pays cash,13,
53,Check-in,1,
53,Check exchange rate,2,0.93
53,Check exchange rate,3,1.0
53,Check exchange rate,4,0.98
53,Check exchange rate,5,0.99
53,Check exchange rate,6,0.81
53,Check exchange rate,7,0.95
53,Check exchange rate,8,1.01
53,Check exchange rate,9,1.02
53,Check exchange rate,10,0.9
53,Check exchange rate,11,1.13
53,Check exchange rate,12,0.91
53,Pays cash,13,
54,Check-in,1,
54,Check exchange rate,2,1.05
54,Check exchange rate,3,1.08
54,Check exchange rate,4,1.18
54,Check exchange rate,5,0.93
54,Check exchange rate,6,0.91
54,Check exchange rate,7,0.89
54,Check exchange rate,8,0.97
54,Check exchange rate,9,1.14
54,Check exchange rate,10,1.05
54,Check exchange rate,11,1.05
54,Check exchange rate,12,0.82
54,Pays by card,13,
55,Check-in,1,
55,Check exchange rate,2,0.93
55,Check exchange rate,3,1.13
55,Check exchange rate,4,0.83
55,Check exchange rate,5,1.1
55,Check exchange rate,6,1.11
55,Check exchange rate,7,0.89
55,Check exchange rate,8,0.96
55,Check exchange rate,9,0.89
55,Check exchange rate,10,0.98
55,Check exchange rate,11,0.97
55,Check exchange rate,12,1.08
55,Pays cash,13,
56,Check-in,1,
56,Check exchange rate,2,1.0
56,Check exchange rate,3,0.98
56,Check exchange rate,4,0.86
56,Check exchange rate,5,1.12
56,Check exchange rate,6,0.98
56,Check exchange rate,7,0.93
56,Check exchange rate,8,1.11
56,Check exchange rate,9,0.88
56,Check exchange rate,10,0.84
56,Check exchange rate,11,1.13
56,Check exchange rate,12,1.19
56,Pays cash,13,
57,Check-in,1,
57,Check exchange rate,2,0.95
57,Check exchange rate,3,0.95
57,Check exchange rate,4,1.0
57,Check exchange rate,5,1.05
57,Check exchange rate,6,1.0
57,Check exchange rate,7,0.96
57,Check exchange rate,8,0.99
57,Check exchange rate,9,0.99
57,Check exchange rate,10,0.96
57,Check exchange rate,11,0.97
57,Check exchange rate,12,1.16
57,Pays cash,13,
58,Check-in,1,
58,Check exchange rate,2,0.99
58,Check exchange rate,3,1.02
58,Check exchange rate,4,1.02
58,Check exchange rate,5,1.09
58,Check exchange rate,6,0.85
58,Check exchange rate,7,0.85
58,Check exchange rate,8,1.05
58,Check exchange rate,9,0.8
58,Check exchange rate,10,1.02
58,Check exchange rate,11,0.88
58,Check exchange rate,12,1.16
58,Pays by card,13,
59,Check-in,1,
59,Check exchange rate,2,1.03
59,Check exchange rate,3,0.82
59,Check exchange rate,4,0.95
59,Check exchange rate,5,0.92
59,Check exchange rate,6,0.94
59,Check exchange rate,7,0.98
59,Check exchange rate,8,0.95
59,Check exchange rate,9,0.8
59,Check exchange rate,10,1.07
59,Check exchange rate,11,0.89
59,Check exchange rate,12,1.02
59,Pays cash,13,
60,Check-in,1,
60,Check exchange rate,2,0.98
60,Check exchange rate,3,1.23
60,Check exchange rate,4,1.03
60,Check exchange rate,5,1.09
60,Check exchange rate,6,1.2
60,Check exchange rate,7,1.11
60,Check exchange rate,8,0.96
60,Check exchange rate,9,0.87
60,Check exchange rate,10,1.0
60,Check exchange rate,11,0.94
60,Check exchange rate,12,0.85
60,Pays cash,13,
61,Check-in,1,
61,Check exchange rate,2,1.02
61,Check exchange rate,3,1.03
61,Check exchange rate,4,1.05
61,Check exchange rate,5,1.11
61,Check exchange rate,6,1.01
61,Check exchange rate,7,1.03
61,Check exchange rate,8,0.96
61,Check exchange rate,9,1.03
61,Check exchange rate,10,0.97
61,Check exchange rate,11,1.06
61,Check exchange rate,12,0.96
61,Pays cash,13,
62,Check-in,1,
62,Check exchange rate,2,0.99
62,Check exchange rate,3,0.88
62,Check exchange rate,4,1.0
62,Check exchange rate,5,1.04
62,Check exchange rate,6,1.03
62,Check exchange rate,7,1.1
62,Check exchange rate,8,0.86
62,Check exchange rate,9,0.92
62,Check exchange rate,10,1.06
62,Check exchange rate,11,0.93
62,Check exchange rate,12,1.02
62,Pays cash,13,
63,Check-in,1,
63,Check exchange rate,2,0.76
63,Check exchange rate,3,1.11
63,Check exchange rate,4,1.02
63,Check exchange rate,5,0.99
63,Check exchange rate,6,1.03
63,Check exchange rate,7,1.05
63,Check exchange rate,8,1.06
63,Check exchange rate,9,1.06
63,Check exchange rate,10,1.01
63,Check exchange rate,11,0.98
63,Check exchange rate,12,0.98
63,Pays cash,13,
64,Check-in,1,
64,Check exchange rate,2,1.12
64,Check exchange rate,3,0.98
64,Check exchange rate,4,0.99
64,Check exchange rate,5,1.1
64,Check exchange rate,6,1.23
64,Check exchange rate,7,1.02
64,Check exchange rate,8,1.2
64,Check exchange rate,9,0.98
64,Check exchange rate,10,1.1
64,Check exchange rate,11,1.11
64,Check exchange rate,12,0.96
64,Pays by card,13,
65,Check-in,1,
65,Check exchange rate,2,0.93
65,Check exchange rate,3,0.94
65,Check exchange rate,4,1.09
65,Check exchange rate,5,1.1
65,Check exchange rate,6,1.05
65,Check exchange rate,7,1.07
65,Check exchange rate,8,1.05
65,Check exchange rate,9,0.94
65,Check exchange rate,10,1.04
65,Check exchange rate,11,1.08
65,Check exchange rate,12,1.08
65,Pays by card,13,
66,Check-in,1,
66,Check exchange rate,2,1.06
66,Check exchange rate,3,1.04
66,Check exchange rate,4,0.92
66,Check exchange rate,5,1.02
66,Check exchange rate,6,0.92
66,Check exchange rate,7,1.0
66,Check exchange rate,8,0.84
66,Check exchange rate,9,0.84
66,Check exchange rate,10,0.98
66,Check exchange rate,11,0.95
66,Check exchange rate,12,1.01
66,Pays by card,13,
67,Check-in,1,
67,Check exchange rate,2,0.99
67,Check exchange rate,3,0.81
67,Check exchange rate,4,1.02
67,Check exchange rate,5,1.0
67,Check exchange rate,6,0.92
67,Check exchange rate,7,1.07
67,Check exchange rate,8,1.09
67,Check exchange rate,9,0.84
67,Check exchange rate,10,0.92
67,Check exchange rate,11,0.92
67,Check exchange rate,12,0.91
67,Pays cash,13,
68,Check-in,1,
68,Check exchange rate,2,0.98
68,Check exchange rate,3,1.07
68,Check exchange rate,4,0.97
68,Check exchange rate,5,1.06
68,Check exchange rate,6,0.85
68,Check exchange rate,7,0.99
68,Check exchange rate,8,1.01
68,Check exchange rate,9,1.0
68,Check exchange rate,10,0.83
68,Check exchange rate,11,1.12
68,Check exchange rate,12,0.91
68,Pays cash,13,
69,Check-in,1,
69,Check exchange rate,2,1.03
69,Check exchange rate,3,0.7
69,Check exchange rate,4,1.02
69,Check exchange rate,5,1.18
69,Check exchange rate,6,1.12
69,Check exchange rate,7,1.02
69,Check exchange rate,8,0.95
69,Check exchange rate,9,1.08
69,Check exchange rate,10,0.9
69,Check exchange rate,11,1.05
69,Check exchange rate,12,1.05
69,Pays by card,13,
70,Check-in,1,
70,Check exchange rate,2,0.88
70,Check exchange rate,3,1.01
70,Check exchange rate,4,0.93
70,Check exchange rate,5,1.09
70,Check exchange rate,6,0.82
70,Check exchange rate,7,1.0
70,Check exchange rate,8,1.03
70,Check exchange rate,9,0.91
70,Check exchange rate,10,0.94
70,Check exchange rate,11,1.0
70,Check exchange rate,12,1.1
70,Pays cash,13,
71,Check-in,1,
71,Check exchange rate,2,0.9
71,Check exchange rate,3,1.08
71,Check exchange rate,4,0.91
71,Check exchange rate,5,0.93
71,Check exchange rate,6,0.97
71,Check exchange rate,7,0.87
71,Check exchange rate,8,0.92
71,Check exchange rate,9,0.95
71,Check exchange rate,10,1.09
71,Check exchange rate,11,1.03
