case_id,activity,event_order,exchange_rate
9,Check exchange rate,10,1.01
9,Check exchange rate,11,1.06
9,Check exchange rate,12,1.08
9,Pays cash,13,
10,Check-in,1,
10,Check exchange rate,2,0.83
10,Check exchange rate,3,0.93
10,Check exchange rate,4,1.05
10,Check exchange rate,5,1.09
10,Check exchange rate,6,0.9
10,Check exchange rate,7,1.12
10,Check exchange rate,8,0.9
10,Check exchange rate,9,1.01
10,Check exchange rate,10,0.92
10,Check exchange rate,11,0.83
10,Check exchange rate,12,1.03
10,Pays by card,13,
11,Check-in,1,
11,Check exchange rate,2,0.96
11,Check exchange rate,3,1.06
11,Check exchange rate,4,0.95
11,Check exchange rate,5,1.19
11,Check exchange rate,6,0.77
11,Check exchange rate,7,1.02
11,Check exchange rate,8,0.95
11,Check exchange rate,9,0.89
11,Check exchange rate,10,1.02
11,Check exchange rate,11,0.86
11,Check exchange rate,12,1.08
11,Pays by card,13,
12,Check-in,1,
12,Check exchange rate,2,1.17
12,Check exchange rate,3,1.07
12,Check exchange rate,4,1.03
12,Check exchange rate,5,1.11
12,Check exchange rate,6,1.12
12,Check exchange rate,7,0.94
12,Check exchange rate,8,0.89
12,Check exchange rate,9,0.9
12,Check exchange rate,10,1.01
12,Check exchange rate,11,0.99
12,Check exchange rate,12,0.94
12,Pays cash,13,
13,Check-in,1,
13,Check exchange rate,2,0.89
13,Check exchange rate,3,0.94
13,Check exchange rate,4,0.91
13,Check exchange rate,5,0.96
13,Check exchange rate,6,0.99
13,Check exchange rate,7,0.78
13,Check exchange rate,8,1.01
13,Check exchange rate,9,0.92
13,Check exchange rate,10,0.74
13,Check exchange rate,11,1.03
13,Check exchange rate,12,1.06
13,Pays by card,13,
14,Check-in,1,
14,Check exchange rate,2,1.02
14,Check exchange rate,3,1.04
14,Check exchange rate,4,0.94
14,Check exchange rate,5,1.08
14,Check exchange rate,6,0.91
14,Check exchange rate,7,0.94
14,Check exchange rate,8,0.97
14,Check exchange rate,9,0.94
14,Check exchange rate,10,1.14
14,Check exchange rate,11,1.05
14,Check exchange rate,12,1.05
14,Pays cash,13,
15,Check-in,1,
15,Check exchange rate,2,1.22
15,Check exchange rate,3,0.97
15,Check exchange rate,4,1.03
15,Check exchange rate,5,0.83
15,Check exchange rate,6,0.94
15,Check exchange rate,7,1.03
15,Check exchange rate,8,0.98
15,Check exchange rate,9,1.16
15,Check exchange rate,10,0.97
15,Check exchange rate,11,1.12
15,Check exchange rate,12,0.91
15,Pays cash,13,
16,Check-in,1,
16,Check exchange rate,2,1.07
16,Check exchange rate,3,1.16
16,Check exchange rate,4,1.05
16,Check exchange rate,5,1.14
16,Check exchange rate,6,0.97
16,Check exchange rate,7,0.86
16,Check exchange rate,8,1.11
16,Check exchange rate,9,1.09
16,Check exchange rate,10,0.93
16,Check exchange rate,11,0.9
16,Check exchange rate,12,0.93
16,Pays cash,13,
17,Check-in,1,
17,Check exchange rate,2,1.01
17,Check exchange rate,3,1.12
17,Check exchange rate,4,1.11
17,Check exchange rate,5,1.01
17,Check exchange rate,6,1.06
17,Check exchange rate,7,1.06
17,Check exchange rate,8,0.89
17,Check exchange rate,9,0.95
17,Check exchange rate,10,1.21
17,Check exchange rate,11,1.18
17,Check exchange rate,12,0.99
17,Pays cash,13,
18,Check-in,1,
18,Check exchange rate,2,0.94
18,Check exchange rate,3,1.04
18,Check exchange rate,4,1.0
18,Check exchange rate,5,0.95
18,Check exchange rate,6,0.96
18,Check exchange rate,7,1.1
18,Check exchange rate,8,1.0
18,Check exchange rate,9,0.76
18,Check exchange rate,10,0.99
18,Check exchange rate,11,1.06
18,Check exchange rate,12,0.93
18,Pays by card,13,
19,Check-in,1,
19,Check exchange rate,2,0.97
19,Check exchange rate,3,0.99
19,Check exchange rate,4,1.12
19,Check exchange rate,5,1.1
19,Check exchange rate,6,1.01
19,Check exchange rate,7,0.92
19,Check exchange rate,8,1.16
19,Check exchange rate,9,0.88
19,Check exchange rate,10,1.13
19,Check exchange rate,11,0.92
19,Check exchange rate,12,0.96
19,Pays cash,13,
20,Check-in,1,
20,Check exchange rate,2,0.94
20,Check exchange rate,3,1.06
20,Check exchange rate,4,1.07
20,Check exchange rate,5,0.82
20,Check exchange rate,6,0.95
20,Check exchange rate,7,0.86
20,Check exchange rate,8,0.79
20,Check exchange rate,9,0.98
20,Check exchange rate,10,0.97
20,Check exchange rate,11,0.93
20,Check exchange rate,12,0.91
20,Pays by card,13,
21,Check-in,1,
21,Check exchange rate,2,1.05
21,Check exchange rate,3,0.97
21,Check exchange rate,4,1.05
21,Check exchange rate,5,0.92
21,Check exchange rate,6,1.03
21,Check exchange rate,7,1.12
21,Check exchange rate,8,1.07
21,Check exchange rate,9,0.83
21,Check exchange rate,10,1.16
21,Check exchange rate,11,1.02
21,Check exchange rate,12,0.94
21,Pays cash,13,
22,Check-in,1,
22,Check exchange rate,2,0.94
22,Check exchange rate,3,1.16
22,Check exchange rate,4,1.06
22,Check exchange rate,5,1.3
22,Check exchange rate,6,0.97
22,Check exchange rate,7,0.95
22,Check exchange rate,8,0.82
22,Check exchange rate,9,0.99
22,Check exchange rate,10,1.0
22,Check exchange rate,11,1.03
22,Check exchange rate,12,1.05
22,Pays cash,13,
23,Check-in,1,
23,Check exchange rate,2,1.08
23,Check exchange rate,3,1.02
23,Check exchange rate,4,0.9
23,Check exchange rate,5,0.85
23,Check exchange rate,6,1.05
23,Check exchange rate,7,0.97
23,Check exchange rate,8,0.96
23,Check exchange rate,9,1.01
23,Check exchange rate,10,0.93
23,Check exchange rate,11,0.97
23,Check exchange rate,12,1.1
23,Pays by card,13,
24,Check-in,1,
24,Check exchange rate,2,0.97
24,Check exchange rate,3,0.99
24,Check exchange rate,4,0.97
24,Check exchange rate,5,0.98
24,Check exchange rate,6,1.18
24,Check exchange rate,7,1.09
24,Check exchange rate,8,1.09
24,Check exchange rate,9,1.05
24,Check exchange rate,10,1.06
24,Check exchange rate,11,1.09
24,Check exchange rate,12,1.17
24,Pays cash,13,
25,Check-in,1,
25,Check exchange rate,2,1.04
25,Check exchange rate,3,0.97
25,Check exchange rate,4,1.01
25,Check exchange rate,5,1.13
25,Check exchange rate,6,0.94
25,Check exchange rate,7,1.09
25,Check exchange rate,8,0.99
25,Check exchange rate,9,0.97
25,Check exchange rate,10,0.97
25,Check exchange rate,11,0.92
25,Check exchange rate,12,1.04
25,Pays cash,13,
26,Check-in,1,
26,Check exchange rate,2,0.79
26,Check exchange rate,3,1.01
26,Check exchange rate,4,0.95
26,Check exchange rate,5,1.04
26,Check exchange rate,6,0.93
26,Check exchange rate,7,1.2
26,Check exchange rate,8,0.92
26,Check exchange rate,9,0.87
26,Check exchange rate,10,1.01
26,Check exchange rate,11,1.07
26,Check exchange rate,12,1.0
26,Pays by card,13,
27,Check-in,1,
27,Check exchange rate,2,1.04
27,Check exchange rate,3,1.13
27,Check exchange rate,4,0.92
27,Check exchange rate,5,1.0
27,Check exchange rate,6,0.91
27,Check exchange rate,7,1.11
27,Check exchange rate,8,1.02
27,Check exchange rate,9,0.8
27,Check exchange rate,10,0.91
27,Check exchange rate,11,0.99
27,Check exchange rate,12,0.81
27,Pays by card,13,
28,Check-in,1,
28,Check exchange rate,2,0.88
28,Check exchange rate,3,0.98
28,Check exchange rate,4,0.98
28,Check exchange rate,5,1.14
28,Check exchange rate,6,1.1
28,Check exchange rate,7,0.98
28,Check exchange rate,8,1.0
28,Check exchange rate,9,0.92
28,Check exchange rate,10,0.91
28,Check exchange rate,11,0.92
28,Check exchange rate,12,0.98
28,Pays by card,13,
29,Check-in,1,
29,Check exchange rate,2,0.92
29,Check exchange rate,3,1.04
29,Check exchange rate,4,1.06
29,Check exchange rate,5,1.11
29,Check exchange rate,6,0.81
29,Check exchange rate,7,1.07
29,Check exchange rate,8,0.89
29,Check exchange rate,9,1.1
29,Check exchange rate,10,1.02
29,Check exchange rate,11,0.97
29,Check exchange rate,12,0.93
29,Pays by card,13,
30,Check-in,1,
30,Check exchange rate,2,0.78
30,Check exchange rate,3,1.0
30,Check exchange rate,4,0.97
30,Check exchange rate,5,0.98
30,Check exchange rate,6,1.03
30,Check exchange rate,7,1.01
30,Check exchange rate,8,0.92
30,Check exchange rate,9,1.17
30,Check exchange rate,10,1.0
30,Check exchange rate,11,1.04
30,Check exchange rate,12,0.97
30,Pays by card,13,
31,Check-in,1,
31,Check exchange rate,2,1.22
31,Check exchange rate,3,1.03
31,Check exchange rate,4,0.99
31,Check exchange rate,5,1.02
31,Check exchange rate,6,1.02
31,Check exchange rate,7,0.92
31,Check exchange rate,8,1.15
31,Check exchange rate,9,1.09
31,Check exchange rate,10,0.98
31,Check exchange rate,11,0.97
31,Check exchange rate,12,1.02
31,Pays cash,13,
32,Check-in,1,
32,Check exchange rate,2,1.06
32,Check exchange rate,3,1.01
32,Check exchange rate,4,1.12
32,Check exchange rate,5,1.03
32,Check exchange rate,6,0.96
32,Check exchange rate,7,0.97
32,Check exchange rate,8,0.96
32,Check exchange rate,9,1.04
32,Check exchange rate,10,0.92
32,Check exchange rate,11,1.0
32,Check exchange rate,12,1.01
32,Pays cash,13,
33,Check-in,1,
33,Check exchange rate,2,0.95
33,Check exchange rate,3,0.8
33,Check exchange rate,4,1.02
33,Check exchange rate,5,0.99
33,Check exchange rate,6,0.83
33,Check exchange rate,7,0.96
33,Check exchange rate,8,1.13
33,Check exchange rate,9,0.93
33,Check exchange rate,10,1.01
33,Check exchange rate,11,1.19
33,Check exchange rate,12,1.08
33,Pays by card,13,
34,Check-in,1,
34,Check exchange rate,2,1.14
34,Check exchange rate,3,1.01
34,Check exchange rate,4,1.0
34,Check exchange rate,5,0.87
34,Check exchange rate,6,1.04
34,Check exchange rate,7,0.95
34,Check exchange rate,8,0.95
34,Check exchange rate,9,1.09
34,Check exchange rate,10,1.06
34,Check exchange rate,11,0.89
34,Check exchange rate,12,1.15
34,Pays cash,13,
35,Check-in,1,
35,Check exchange rate,2,1.02
35,Check exchange rate,3,1.17
35,Check exchange rate,4,0.92
35,Check exchange rate,5,0.97
35,Check exchange rate,6,0.97
35,Check exchange rate,7,1.24
35,Check exchange rate,8,1.05
35,Check exchange rate,9,1.0
35,Check exchange rate,10,1.01
35,Check exchange rate,11,0.95
35,Check exchange rate,12,0.95
35,Pays cash,13,
36,Check-in,1,
36,Check exchange rate,2,1.05
36,Check exchange rate,3,1.0
36,Check exchange rate,4,1.13
36,Check exchange rate,5,0.93
36,Check exchange rate,6,1.01
36,Check exchange rate,7,0.69
36,Check exchange rate,8,1.14
36,Check exchange rate,9,0.99
36,Check exchange rate,10,0.98
36,Check exchange rate,11,1.05
36,Check exchange rate,12,1.03
36,Pays by card,13,
37,Check-in,1,
37,Check exchange rate,2,1.16
37,Check exchange rate,3,1.12
37,Check exchange rate,4,1.11
37,Check exchange rate,5,1.08
37,Check exchange rate,6,0.96
37,Check exchange rate,7,1.01
37,Check exchange rate,8,1.13
37,Check exchange rate,9,1.01
37,Check exchange rate,10,0.88
37,Check exchange rate,11,1.03
37,Check exchange rate,12,1.0
37,Pays cash,13,
38,Check-in,1,
38,Check exchange rate,2,0.85
38,Check exchange rate,3,1.02
38,Check exchange rate,4,0.9
38,Check exchange rate,5,0.8
38,Check exchange rate,6,0.96
38,Check exchange rate,7,1.03
38,Check exchange rate,8,1.17
38,Check exchange rate,9,1.08
38,Check exchange rate,10,1.24
38,Check exchange rate,11,0.95
38,Check exchange rate,12,1.05
38,Pays cash,13,
39,Check-in,1,
39,Check exchange rate,2,1.03
39,Check exchange rate,3,0.91
39,Check exchange rate,4,0.76
39,Check exchange rate,5,0.99
39,Check exchange rate,6,0.83
39,Check exchange rate,7,1.02
39,Check exchange rate,8,0.96
39,Check exchange rate,9,0.99
39,Check exchange rate,10,0.95
39,Check exchange rate,11,1.1
39,Check exchange rate,12,0.92
39,Pays by card,13,
40,Check-in,1,
40,Check exchange rate,2,1.13
40,Check exchange rate,3,0.96
40,Check exchange rate,4,0.9
40,Check exchange rate,5,0.95
40,Check exchange rate,6,1.01
40,Check exchange rate,7,0.97
40,Check exchange rate,8,1.05
40,Check exchange rate,9,0.83
40,Check exchange rate,10,0.85
40,Check exchange rate,11,1.08
40,Check exchange rate,12,0.9
40,Pays by card,13,
41,Check-in,1,
41,Check exchange rate,2,1.03
41,Check exchange rate,3,0.98
41,Check exchange rate,4,0.93
41,Check exchange rate,5,0.75
41,Check exchange rate,6,0.92
41,Check exchange rate,7,0.99
41,Check exchange rate,8,1.06
41,Check exchange rate,9,1.08
41,Check exchange rate,10,0.94
41,Check exchange rate,11,1.08
41,Check exchange rate,12,1.22
41,Pays by card,13,
42,Check-in,1,
42,Check exchange rate,2,1.17
42,Check exchange rate,3,0.9
42,Check exchange rate,4,1.12
42,Check exchange rate,5,0.94
42,Check exchange rate,6,0.98
42,Check exchange rate,7,0.92
42,Check exchange rate,8,1.01
42,Check exchange rate,9,1.05
42,Check exchange rate,10,0.83
42,Check exchange rate,11,1.05
42,Check exchange rate,12,1.16
42,Pays by card,13,
43,Check-in,1,
43,Check exchange rate,2,1.07
43,Check exchange rate,3,0.95
43,Check exchange rate,4,0.97
43,Check exchange rate,5,1.01
43,Check exchange rate,6,1.15
43,Check exchange rate,7,1.04
43,Check exchange rate,8,1.19
43,Check exchange rate,9,0.96
43,Check exchange rate,10,1.03
43,Check exchange rate,11,0.8
43,Check exchange rate,12,1.06
43,Pays cash,13,
44,Check-in,1,
44,Check exchange rate,2,0.75
44,Check exchange rate,3,0.9
44,Check exchange rate,4,1.06
44,Check exchange rate,5,0.86
44,Check exchange rate,6,0.92
44,Check exchange rate,7,0.87
44,Check exchange rate,8,0.87
44,Check exchange rate,9,1.09
44,Check exchange rate,10,0.98
44,Check exchange rate,11,1.06
44,Check exchange rate,12,1.02
44,Pays by card,13,
45,Check-in,1,
45,Check exchange rate,2,0.99
45,Check exchange rate,3,0.95
45,Check exchange rate,4,0.93
45,Check exchange rate,5,0.89
45,Check exchange rate,6,1.13
45,Check exchange rate,7,0.93
45,Check exchange rate,8,1.01
45,Check exchange rate,9,1.08
45,Check exchange rate,10,0.98
45,Check exchange rate,11,0.9
45,Check exchange rate,12,0.96
45,Pays by card,13,
46,Check-in,1,
46,Check exchange rate,2,1.18
46,Check exchange rate,3,1.08
46,Check exchange rate,4,1.07
46,Check exchange rate,5,1.04
46,Check exchange rate,6,1.16
46,Check exchange rate,7,1.14
46,Check exchange rate,8,1.11
46,Check exchange rate,9,0.97
46,Check exchange rate,10,1.28
46,Check exchange rate,11,0.93
46,Check exchange rate,12,1.09
46,Pays cash,13,
47,Check-in,1,
47,Check exchange rate,2,0.92
47,Check exchange rate,3,0.9
47,Check exchange rate,4,1.01
47,Check exchange rate,5,0.9
47,Check exchange rate,6,1.23
47,Check exchange rate,7,0.92
47,Check exchange rate,8,1.16
47,Check exchange rate,9,1.13
47,Check exchange rate,10,0.97
47,Check exchange rate,11,0.99
47,Check exchange rate,12,1.13
47,Pays cash,13,
48,Check-in,1,
48,Check exchange rate,2,0.91
48,Check exchange rate,3,1.03
48,Check exchange rate,4,1.0
48,Check exchange rate,5,1.04
48,Check exchange rate,6,1.02
48,Check exchange rate,7,1.1
48,Check exchange rate,8,0.79
48,Check exchange rate,9,0.96
48,Check exchange rate,10,0.86
48,Check exchange rate,11,1.02
48,Check exchange rate,12,0.84
48,Pays by card,13,
49,Check-in,1,
49,Check exchange rate,2,1.02
49,Check exchange rate,3,0.98
49,Check exchange rate,4,0.97
49,Check exchange rate,5,0.86
49,Check exchange rate,6,0.96
49,Check exchange rate,7,0.96
49,Check exchange rate,8,1.25
49,Check exchange rate,9,0.97
49,Check exchange rate,10,0.94
49,Check exchange rate,11,0.98
49,Check exchange rate,12,1.06
49,Pays by card,13,
50,Check-in,1,
50,Check exchange rate,2,1.03
50,Check exchange rate,3,1.06
50,Check exchange rate,4,1.01
50,Check exchange rate,5,0.98
50,Check exchange rate,6,1.0
50,Check exchange rate,7,1.13
50,Check exchange rate,8,0.93
50,Check exchange rate,9,1.14
50,Check exchange rate,10,0.95
50,Check exchange rate,11,1.05
50,Check exchange rate,12,1.02
50,Pays cash,13,
51,Check-in,1,
51,Check exchange rate,2,1.16
51,Check exchange rate,3,1.01
51,Check exchange rate,4,0.99
51,Check exchange rate,5,1.02
51,Check exchange rate,6,1.02
51,Check exchange rate,7,1.04
51,Check exchange rate,8,0.97
51,Check exchange rate,9,1.05
51,Check exchange rate,10,0.94
51,Check exchange rate,11,1.17
51,Check exchange rate,12,0.88
51,Pays cash,13,
52,Check-in,1,
52,Check exchange rate,2,0.97
52,Check exchange rate,3,1.05
52,Check exchange rate,4,1.12
52,Check exchange rate,5,1.07
52,Check exchange rate,6,0.94
52,Check exchange rate,7,0.99
52,Check exchange rate,8,1.06
52,Check exchange rate,9,1.14
52,Check exchange rate,10,1.11
52,Check exchange rate,11,1.11
52,Check exchange rate,12,1.04
52,Pays cash,13,
53,Check-in,1,
53,Check exchange rate,2,1.03
53,Check exchange rate,3,1.16
53,Check exchange rate,4,0.95
53,Check exchange rate,5,0.96
53,Check exchange rate,6,1.04
53,Check exchange rate,7,0.98
53,Check exchange rate,8,1.0
53,Check exchange rate,9,1.09
53,Check exchange rate,10,0.88
53,Check exchange rate,11,0.98
53,Check exchange rate,12,1.01
53,Pays cash,13,
54,Check-in,1,
54,Check exchange rate,2,1.0
54,Check exchange rate,3,1.03
54,Check exchange rate,4,1.0
54,Check exchange rate,5,1.06
54,Check exchange rate,6,0.9
54,Check exchange rate,7,1.12
54,Check exchange rate,8,1.02
54,Check exchange rate,9,1.34
54,Check exchange rate,10,0.91
54,Check exchange rate,11,1.16
54,Check exchange rate,12,0.92
54,Pays cash,13,
55,Check-in,1,
55,Check exchange rate,2,0.98
55,Check exchange rate,3,1.13
55,Check exchange rate,4,0.96
55,Check exchange rate,5,0.86
55,Check exchange rate,6,1.03
55,Check exchange rate,7,1.07
55,Check exchange rate,8,1.05
55,Check exchange rate,9,1.11
55,Check exchange rate,10,1.01
55,Check exchange rate,11,1.14
55,Check exchange rate,12,1.0
55,Pays by card,13,
56,Check-in,1,
56,Check exchange rate,2,0.91
56,Check exchange rate,3,0.93
56,Check exchange rate,4,0.98
56,Check exchange rate,5,1.06
56,Check exchange rate,6,1.0
56,Check exchange rate,7,0.76
56,Check exchange rate,8,1.13
56,Check exchange rate,9,0.96
56,Check exchange rate,10,0.84
56,Check exchange rate,11,1.0
56,Check exchange rate,12,0.94
56,Pays by card,13,
57,Check-in,1,
57,Check exchange rate,2,1.05
57,Check exchange rate,3,1.15
57,Check exchange rate,4,1.02
57,Check exchange rate,5,0.91
57,Check exchange rate,6,0.97
57,Check exchange rate,7,1.15
57,Check exchange rate,8,1.04
57,Check exchange rate,9,0.96
57,Check exchange rate,10,1.03
57,Check exchange rate,11,0.85
57,Check exchange rate,12,0.88
57,Pays cash,13,
58,Check-in,1,
58,Check exchange rate,2,0.89
58,Check exchange rate,3,1.09
58,Check exchange rate,4,1.03
58,Check exchange rate,5,1.05
58,Check exchange rate,6,1.1
58,Check exchange rate,7,0.97
58,Check exchange rate,8,0.9
58,Check exchange rate,9,1.03
58,Check exchange rate,10,1.08
58,Check exchange rate,11,1.01
58,Check exchange rate,12,1.13
58,Pays cash,13,
59,Check-in,1,
59,Check exchange rate,2,1.03
59,Check exchange rate,3,0.95
59,Check exchange rate,4,0.99
59,Check exchange rate,5,0.97
59,Check exchange rate,6,0.92
59,Check exchange rate,7,0.94
59,Check exchange rate,8,1.02
59,Check exchange rate,9,1.0
59,Check exchange rate,10,0.97
59,Check exchange rate,11,1.04
59,Check exchange rate,12,1.1
59,Pays by card,13,
60,Check-in,1,
60,Check exchange rate,2,1.14
60,Check exchange rate,3,1.01
60,Check exchange rate,4,1.17
60,Check exchange rate,5,0.76
60,Check exchange rate,6,1.04
60,Check exchange rate,7,0.96
60,Check exchange rate,8,1.03
60,Check exchange rate,9,1.03
60,Check exchange rate,10,1.08
60,Check exchange rate,11,1.07
60,Check exchange rate,12,1.02
60,Pays cash,13,
61,Check-in,1,
61,Check exchange rate,2,1.06
61,Check exchange rate,3,0.95
61,Check exchange rate,4,0.98
61,Check exchange rate,5,1.05
61,Check exchange rate,6,1.09
61,Check exchange rate,7,0.88
61,Check exchange rate,8,0.98
61,Check exchange rate,9,1.03
61,Check exchange rate,10,0.94
61,Check exchange rate,11,0.98
61,Check exchange rate,12,1.08
61,Pays cash,13,
62,Check-in,1,
62,Check exchange rate,2,1.06
62,Check exchange rate,3,1.0
62,Check exchange rate,4,1.1
62,Check exchange rate,5,1.06
62,Check exchange rate,6,0.85
62,Check exchange rate,7,0.82
62,Check exchange rate,8,1.08
62,Check exchange rate,9,1.11
62,Check exchange rate,10,1.06
62,Check exchange rate,11,0.92
62,Check exchange rate,12,1.14
62,Pays cash,13,
63,Check-in,1,
63,Check exchange rate,2,0.88
63,Check exchange rate,3,1.09
63,Check exchange rate,4,1.05
63,Check exchange rate,5,1.21
63,Check exchange rate,6,1.03
63,Check exchange rate,7,1.2
63,Check exchange rate,8,0.99
63,Check exchange rate,9,1.03
63,Check exchange rate,10,0.9
63,Check exchange rate,11,0.9
63,Check exchange rate,12,1.21
63,Pays cash,13,
64,Check-in,1,
64,Check exchange rate,2,0.99
64,Check exchange rate,3,0.98
64,Check exchange rate,4,1.04
64,Check exchange rate,5,1.07
64,Check exchange rate,6,0.88
64,Check exchange rate,7,1.01
64,Check exchange rate,8,0.96
64,Check exchange rate,9,0.92
64,Check exchange rate,10,0.94
64,Check exchange rate,11,1.05
64,Check exchange rate,12,0.85
64,Pays by card,13,
65,Check-in,1,
65,Check exchange rate,2,0.97
65,Check exchange rate,3,0.96
65,Check exchange rate,4,0.94
65,Check exchange rate,5,1.1
65,Check exchange rate,6,1.03
65,Check exchange rate,7,0.9
65,Check exchange rate,8,0.81
65,Check exchange rate,9,1.14
65,Check exchange rate,10,0.83
65,Check exchange rate,11,1.01
65,Check exchange rate,12,0.9
65,Pays by card,13,
66,Check-in,1,
66,Check exchange rate,2,1.07
66,Check exchange rate,3,0.89
66,Check exchange rate,4,0.99
66,Check exchange rate,5,1.04
66,Check exchange rate,6,0.75
66,Check exchange rate,7,0.91
66,Check exchange rate,8,1.09
66,Check exchange rate,9,0.92
66,Check exchange rate,10,0.89
66,Check exchange rate,11,0.96
66,Check exchange rate,12,1.16
66,Pays by card,13,
67,Check-in,1,
67,Check exchange rate,2,0.85
67,Check exchange rate,3,0.95
67,Check exchange rate,4,0.95
67,Check exchange rate,5,1.12
67,Check exchange rate,6,1.03
67,Check exchange rate,7,0.95
67,Check exchange rate,8,0.92
67,Check exchange rate,9,1.07
67,Check exchange rate,10,0.9
67,Check exchange rate,11,0.86
67,Check exchange rate,12,1.0
67,Pays by card,13,
68,Check-in,1,
68,Check exchange rate,2,1.1
68,Check exchange rate,3,1.06
68,Check exchange rate,4,0.94
68,Check exchange rate,5,1.15
68,Check exchange rate,6,0.89
68,Check exchange rate,7,1.07
68,Check exchange rate,8,0.91
68,Check exchange rate,9,1.14
68,Check exchange rate,10,0.87
68,Check exchange rate,11,1.18
68,Check exchange rate,12,1.18
68,Pays cash,13,
69,Check-in,1,
69,Check exchange rate,2,0.92
69,Check exchange rate,3,1.08
69,Check exchange rate,4,1.05
69,Check exchange rate,5,1.05
69,Check exchange rate,6,1.05
69,Check exchange rate,7,0.89
69,Check exchange rate,8,1.05
69,Check exchange rate,9,1.15
69,Check exchange rate,10,0.89
69,Check exchange rate,11,0.9
69,Check exchange rate,12,1.08
69,Pays cash,13,
70,Check-in,1,
70,Check exchange rate,2,0.94
70,Check exchange rate,3,1.07
70,Check exchange rate,4,0.99
70,Check exchange rate,5,0.89
70,Check exchange rate,6,1.13
70,Check exchange rate,7,1.02
70,Check exchange rate,8,0.99
70,Check exchange rate,9,1.02
70,Check exchange rate,10,0.88
70,Check exchange rate,11,1.07
70,Check exchange rate,12,0.97
70,Pays by card,13,
71,Check-in,1,
71,Check exchange rate,2,0.93
71,Check exchange rate,3,1.01
71,Check exchange rate,4,0.99
71,Check exchange rate,5,1.04
71,Check exchange rate,6,0.79
71,Check exchange rate,7,0.87
71,Check exchange rate,8,0.94
71,Check exchange rate,9,0.97
71,Check exchange rate,10,0.95
71,Check exchange rate,11,1.07
